"","Gene","RE22","BAA_450"
"1","repeat region",1,0
"2","hypothetical protein",1,1
"3","Putative transporting ATPase",1,0
"4","Translation elongation factor P Lys34 hydroxylase",1,1
"5","putative lipoprotein",1,1
"6","Uncharacterized protein YfcL",1,1
"7","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61) / FAD-dependent cmnm(5)s(2)U34 oxidoreductase",1,1
"8","3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)",1,1
"9","Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)",1,1
"10","Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)",1,1
"11","Probable type IV pilus assembly FimV-related transmembrane protein",1,1
"12","tRNA pseudouridine(38-40) synthase (EC 5.4.99.12)",1,1
"13","Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)",1,1
"14","Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)",1,1
"15","Septum-associated cell division protein DedD",1,1
"16","Colicin V production protein",1,1
"17","Amidophosphoribosyltransferase (EC 2.4.2.14)",1,1
"18","Zinc ABC transporter, permease protein ZnuB",1,1
"19","Zinc ABC transporter, ATP-binding protein ZnuC",1,1
"20","Zinc ABC transporter, substrate-binding protein ZnuA",1,1
"21","DNA-binding response regulator, AraC family",1,1
"22","Ferrous iron transporter-associated protein FeoA",1,1
"23","Ferrous iron transporter FeoB",1,1
"24","Ferrous iron transport protein C",1,1
"25","Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases",1,1
"26","Arginyl-tRNA synthetase (EC 6.1.1.19)",1,1
"27","Protein YecM",1,1
"28","Protease III precursor (EC 3.4.24.55)",1,1
"29","Phosphohistidine phosphatase SixA",1,1
"30","Flagellar biosynthesis protein FlhA",1,1
"31","Flagellar biosynthesis protein FlhF",1,1
"32","Flagellar synthesis regulator FleN",1,1
"33","RNA polymerase sigma factor for flagellar operon",1,1
"34","Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY",1,1
"35","Chemotaxis response - phosphatase CheZ",1,1
"36","Signal transduction histidine kinase CheA",1,1
"37","Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)",1,1
